DEPARTAMENTO,MUNICIPIO,CULTIVO,PERIODO,SEMESTRE,Area Sembrada (ha),Area Cosechada (ha),Produccion (t),Rendimiento (t/ha)
META,VISTA HERMOSA,PATILLA,2015,B,30,30,1050,35
META,VISTA HERMOSA,MAIZ BLANCO,2015,B,60,60,330,5.5
META,VISTA HERMOSA,SOYA,2015,B,320,320,832,2.6
META,VISTA HERMOSA,YUCA,2015,A,420,420,7560,18
META,VISTA HERMOSA,AGUACATE,2015,A,21,12,132,11
META,VISTA HERMOSA,CACAO,2015,A,1250,1004,903.6,0.9
META,VISTA HERMOSA,CAÑA PANELERA,2015,A,80,80,208,2.6
META,VISTA HERMOSA,CAUCHO,2015,A,255,80,192,2.4
META,VISTA HERMOSA,CITRICOS,2015,A,58,48,1248,26
META,VISTA HERMOSA,GUANABANA,2015,A,5,5,35,7
META,VISTA HERMOSA,GUAYABA,2015,A,27,23,230,10
META,VISTA HERMOSA,MARACUYA,2015,A,18,15,300,20
META,VISTA HERMOSA,PALMA DE ACEITE,2015,A,7500,6480,155520,24
META,VISTA HERMOSA,PAPAYA,2015,A,118,118,3304,28
META,VISTA HERMOSA,PIÑA,2015,A,123,108,4536,42
META,VISTA HERMOSA,PLATANO,2015,A,335,290,5800,20
META ,SAN JUAN DE ARAMA,ARROZ SECANO MECANIZADO ,2015,A,180,180,1170,6.5
META ,SAN JUAN DE ARAMA,ARROZ RIEGO,2015,A,80,80,520,6.5
META ,SAN JUAN DE ARAMA,ARROZ RIEGO,2015,B,50,50,325,6.5
META,SAN JUAN DE ARAMA,MAIZ TECNIFICADO,2015,A,100,100,600,6
META,SAN JUAN DE ARAMA,MAIZ TRADICIONAL,2015,A,450,450,810,1.8
META,SAN JUAN DE ARAMA,MAIZ BLANCO,2015,A,60,60,300,5
META,SAN JUAN DE ARAMA,MAIZ BLANCO,2015,B,40,40,200,5
META,SAN JUAN DE ARAMA,PATILLA,2015,A,18,18,630,35
META,SAN JUAN DE ARAMA,MAIZ TECNIFICADO,2015,B,50,50,300,6
META ,SAN JUAN DE ARAMA,MAIZ TRADICIONAL,2015,A,500,500,900,1.8
META,SAN JUAN DE ARAMA,PATILLA,2015,B,16,16,560,35
META,SAN JUAN DE ARAMA,YUCA,2015,A,150,150,2700,18
META,SAN JUAN DE ARAMA,AGUACATE,2015,A,69,57,399,7
META,SAN JUAN DE ARAMA,CACAO,2015,A,155,120,108,0.9
META,SAN JUAN DE ARAMA,CAFÃ‰,2015,A,272,158,189.6,1.2
META,SAN JUAN DE ARAMA,CAÑA PANELERA,2015,A,30,30,75,2.5
META,SAN JUAN DE ARAMA,CAUCHO,2015,A,10,10,12,1.2
META,SAN JUAN DE ARAMA,CITRICOS,2015,A,210,173,2595,15
META,SAN JUAN DE ARAMA,GUAYABA,2015,A,60,60,360,6
META,SAN JUAN DE ARAMA,MARACUYA,2015,A,95,89,1780,20
META,SAN JUAN DE ARAMA,PALMA DE ACEITE,2015,A,4480,3280,75440,23
META,SAN JUAN DE ARAMA,PAPAYA,2015,A,40,40,1280,32
META,SAN JUAN DE ARAMA,PIÑA,2015,A,25,15,525,35
